market,airlineAA,airlineDL,airlineUA,airlineAL,airlineLCC,airlineWN,marketdistance,fromcenterdistance,mindistance,changeincmarket,percapitaincmarket,marketsize,wrightamendmDAL,dallasmarket,marketpresenceAA,marketpresenceDL,marketpresenceUA,marketpresenceAL,marketpresenceLCC,marketpresenceWN,mindistancefromhubAA,mindistancefromhubDL,mindistancefromhubUA,mindistancefromhubAL,mindistancefromhubLCC,mindistancefromhubWN
FNTPBI,0,0,0,0,0,0,1.141000032,1.53434062,0.421313316,2.700000048,3.916471004,2.27684164,0,0,0.073170729,0.432926834,0.012195121,0.512379885,0.166666672,0.140243903,0.198599622,0.024086688,0.198599622,0.002372508,0.006909544,0.171132416
FNTRDU,0,0,0,1,0,0,0.555999994,1.226720572,0.425908625,3.299999952,3.428053617,1.931641817,0,0,0.206521735,0.342391312,0.076086953,0.659914374,0.231884062,0.217391297,0.56182754,0.195381001,0.56182754,0.001646632,0.000412646,0.2713691
FNTRSW,0,0,0,1,1,0,1.138000011,1.48376441,0.264955878,6.300000191,3.280455112,1.433159113,0,0,0.186746985,0.355421692,0.012048192,0.554034293,0.27510041,0,0.181344882,0.014856644,0.181344882,0.003433844,0.001648807,0.16569382
FNTSAN,0,0,0,1,0,0,1.945000052,2.027323484,0.425908625,3.099999905,3.419308662,3.576221466,0,0,0.309917361,0.280991733,0.227272734,0.62672174,0.166666672,0.19421488,0,0.09744738,0,0.008745757,0,0
FNTSEA,0,0,0,1,0,0,1.888000011,2.223880529,0.425908625,1.549999952,3.612950325,3.720858097,0,0,0.265873015,0.289682537,0.253968269,0.719696999,0.166666672,0.150793657,0.026129318,0.182668269,0.026129318,0,0,0.031528473
FNTSFO,0,0,0,1,0,0,2.055999994,2.219975471,0.112048075,0.600000024,4.108787537,4.323095322,0,0,0.285714298,0.268907577,0.327731103,0.67978102,0.166666672,0,0.003356815,0.12086089,0.003356815,0.008480087,0,0.006225942
FNTSTL,0,0,0,1,0,0,0.453000009,0.603053212,0.425908625,1.649999976,3.299296141,3.488245487,0,0,0.337606847,0.128205135,0.115384616,0.623543143,0.166666672,0.205128208,0.06052525,0.283220649,0.06052525,0.092184104,0.039395835,0.039395835
FNTTPA,0,0,0,1,1,0,1.036000013,1.374583244,0.102310307,2.799999952,3.18979454,3.306561232,0,0,0.204724416,0.366141737,0.11023622,0.642925322,0.257217854,0.157480314,0.192783192,0.01271935,0.192783192,0.003882684,0.001318265,0.175642923
FWALAX,1,0,0,0,0,0,1.876999974,1.925224781,0.183144793,2.650000095,3.036942959,2.223824739,0,0,0.471687824,0.428130686,0.347912878,0.562794924,0.044827588,0.168965518,0.010310097,0.081693657,0.004190582,0.002004503,0,0
FWALGA,0,0,0,1,0,0,0.592000008,1.33212626,0.11014735,1.549999952,3.462016344,2.699337244,0,0,0.432484895,0.389775664,0.251078516,0.563416719,0.065573767,0,0.498851985,0.215521321,0.498851985,0,0,0.100332104
FWAMCI,0,0,0,1,0,0,0.51700002,0.599155664,0.521295488,1.799999952,3.040804625,0.856970549,0,0,0.450687528,0.406353712,0.259127557,0.56733048,0.058558557,0.220720723,0.079818994,0.303193957,0.079818994,0.460681558,0,0
FWAMCO,0,1,0,1,0,0,0.89200002,1.2521348,0.472719043,2.049999952,2.7871418,0.820104361,0,0,0.399274051,0.476406544,0.227223232,0.562794924,0.089655176,0.155172408,0.302745461,0.001791573,0.302745461,0.041354328,0.001450543,0.271373928
